"temp1","temp2","ldr","heater","humidity1","humidity2","pump","time"
"0","0","0",,"0","0",,NULL
"0","21","0",,"0","0",,NULL
"0","21","0",,"26","0",,NULL
"31","21","0",,"26","0",,NULL
"31","21","0",,"26","41",,NULL
"31","21","0","OFF","26","41",,NULL
"31","21","619","OFF","26","41",,NULL
"31","21","619","OFF","58","41",,NULL
"31","21","619","OFF","58","41",,NULL
"31","21","619","ON","58","41",,NULL
"31","21","619","ON","58","41",,NULL
"31","21","242","ON","58","41",,NULL
"32","21","242","ON","58","41",,NULL
"32","26","242","ON","58","41",,NULL
"31","26","242","ON","58","41",,NULL
"31","26","242","ON","58","84",,NULL
"31","26","242","ON","52","84",,NULL
"31","27","242","ON","52","84",,NULL
"31","27","242","ON","52","84",,NULL
"31","27","242","ON","52","48",,NULL
"31","27","242","ON","24","48",,NULL
"31","25","242","ON","24","48",,NULL
"31","25","10","ON","24","48",,NULL
"31","25","10","ON","24","48",,NULL
"35","25","10","ON","24","48",,NULL
"35","25","10","ON","58","48",,NULL
"35","25","10","ON","58","48",,NULL
"31","25","10","ON","58","48",,NULL
"31","25","10","ON","58","83",,NULL
"31","30","10","ON","58","83",,NULL
"31","30","10","ON","46","83",,NULL
"31","30","10","ON","46","83",,NULL
"31","30","10","OFF","46","83",,NULL
"31","30","10","OFF","46","43",,NULL
"35","30","10","OFF","46","43",,NULL
"35","29","10","OFF","46","43",,NULL
"35","29","10","OFF","14","43",,NULL
"35","29","828","OFF","14","43",,NULL
"35","29","828","OFF","14","44",,NULL
"40","29","828","OFF","14","44",,NULL
"40","29","828","OFF","38","44",,NULL
"40","28","828","OFF","38","44",,NULL
"31","28","828","OFF","38","44",,NULL
"31","28","828","OFF","38","58",,NULL
"31","28","828","OFF","32","58",,NULL
"31","27","828","OFF","32","58",,NULL
"31","27","828","OFF","32","82",,NULL
"33","27","828","OFF","32","82",,NULL
"33","27","828","OFF","58","82",,NULL
"33","24","828","OFF","58","82",,NULL
"33","24","166","OFF","58","82",,NULL
"33","24","166","OFF","58","45",,NULL
"35","24","166","OFF","58","45",,NULL
"35","24","166","OFF","7","45",,NULL
"35","22","166","OFF","7","45",,NULL
"35","22","166","OFF","7","45",,NULL
"35","22","166","OFF","7","45",,NULL
"35","22","166","OFF","7","88",,NULL
"36","22","166","OFF","7","88",,NULL
"36","23","166","OFF","7","88",,NULL
"36","23","166","OFF","37","88",,NULL
"36","23","166","OFF","37","44",,NULL
"36","21","166","OFF","37","44",,NULL
"31","21","166","OFF","37","44",,NULL
"31","21","166","OFF","58","44",,NULL
"31","21","322","OFF","58","44",,NULL
"31","21","322","OFF","58","77",,NULL
"31","20","322","OFF","58","77",,NULL
"31","20","322","OFF","26","77",,NULL
"37","20","322","OFF","26","77",,NULL
"37","20","322","OFF","26","95",,NULL
"37","23","322","OFF","26","95",,NULL
"32","23","322","OFF","26","95",,NULL
"32","23","322","OFF","28","95",,NULL
"32","29","322","OFF","28","95",,NULL
"32","29","322","OFF","13","95",,NULL
"32","29","322","OFF","13","68",,NULL
"30","29","322","OFF","13","68",,NULL
"30","29","322","OFF","13","68",,NULL
"30","29","322","OFF","13","68",,NULL
"30","29","151","OFF","13","68",,NULL
"30","29","151","OFF","39","68",,NULL
"30","29","151","OFF","39","68",,NULL
"40","29","151","OFF","39","68",,NULL
"40","29","151","OFF","39","68",,NULL
"40","29","151","OFF","39","92",,NULL
"40","29","151","OFF","60","92",,NULL
"36","29","151","OFF","60","92",,NULL
"36","20","151","OFF","60","92",,NULL
"36","20","151","OFF","55","92",,NULL
"36","24","151","OFF","55","92",,NULL
"36","24","151","OFF","55","92",,NULL
"36","24","151","OFF","55","63",,NULL
"36","24","757","OFF","55","63",,NULL
"36","29","757","OFF","55","63",,NULL
"32","29","757","OFF","55","63",,NULL
"32","29","757","OFF","13","63",,NULL
"32","29","757","OFF","13","63",,NULL
"37","29","757","OFF","13","63",,NULL
"37","29","757","OFF","26","63",,NULL
"37","30","757","OFF","26","63",,NULL
"37","30","757","OFF","26","61",,NULL
"37","30","757","ON","26","61",,NULL
"37","30","757","ON","26","61",,NULL
"37","30","757","ON","8","61",,NULL
"32","30","757","ON","8","61",,NULL
"32","30","757","ON","8","52",,NULL
"32","29","757","ON","8","52",,NULL
"32","29","337","ON","8","52",,NULL
"31","29","337","ON","8","52",,NULL
"31","29","337","ON","41","52",,NULL
"31","21","337","ON","41","52",,NULL
"31","21","337","ON","41","82",,NULL
"31","21","337","ON","7","82",,NULL
"32","21","337","ON","7","82",,NULL
"32","21","337","ON","7","77",,NULL
"32","28","337","ON","7","77",,NULL
"32","28","337","ON","48","77",,NULL
"35","28","337","ON","48","77",,NULL
"35","20","337","ON","48","77",,NULL
"35","20","337","ON","48","90",,NULL
"35","20","988","ON","48","90",,NULL
"36","20","988","ON","48","90",,NULL
"36","20","988","ON","37","90",,NULL
"36","28","988","ON","37","90",,NULL
"36","28","988","ON","37","44",,NULL
"36","28","988","OFF","37","44",,NULL
"36","28","988","OFF","37","44",,NULL
"36","28","988","OFF","37","44",,NULL
"36","28","988","OFF","46","44",,NULL
"36","28","988","OFF","46","81",,NULL
"36","29","988","OFF","46","81",,NULL
"37","29","988","OFF","46","81",,NULL
"37","29","988","OFF","39","81",,NULL
"37","23","988","OFF","39","81",,NULL
"37","23","988","OFF","39","99",,NULL
"37","23","647","OFF","39","99",,NULL
"32","23","647","OFF","39","99",,NULL
"32","20","647","OFF","39","99",,NULL
"32","20","647","OFF","39","53",,NULL
"32","20","647","OFF","34","53",,NULL
"35","20","647","OFF","34","53",,NULL
"35","23","647","OFF","34","53",,NULL
"35","23","647","OFF","34","81",,NULL
"35","23","647","OFF","26","81",,NULL
"30","23","647","OFF","26","81",,NULL
"30","20","647","OFF","26","81",,NULL
"30","20","647","OFF","26","98",,NULL
"30","20","647","OFF","27","98",,NULL
"30","20","647","ON","27","98",,NULL
"30","20","647","ON","27","98",,NULL
"30","20","230","ON","27","98",,NULL
"33","20","230","ON","27","98",,NULL
"33","29","230","ON","27","98",,NULL
"33","29","230","ON","27","84",,NULL
"33","29","230","ON","7","84",,NULL
"35","29","230","ON","7","84",,NULL
"35","27","230","ON","7","84",,NULL
"35","27","230","ON","7","90",,NULL
"35","27","230","ON","36","90",,NULL
"31","27","230","ON","36","90",,NULL
"31","29","230","ON","36","90",,NULL
"31","29","230","ON","27","90",,NULL
"31","29","230","ON","27","95",,NULL
"31","29","228","ON","27","95",,NULL
"32","29","228","ON","27","95",,NULL
"32","25","228","ON","27","95",,NULL
"32","25","228","ON","27","40",,NULL
"32","25","228","ON","13","40",,NULL
"37","25","228","ON","13","40",,NULL
"37","22","228","ON","13","40",,NULL
"37","22","228","ON","27","40",,NULL
"37","22","228","ON","27","74",,NULL
"37","22","228","ON","27","74",,NULL
